Run,Target,Solution_Hash8,Block,Solution_Nonce,Attempts
1,01000000,00111100,133,183,8
2,01000000,00011000,24,0,1
3,01000000,00010110,69,209,6
4,00100000,00001111,120,151,3
5,00100000,00001011,37,230,10
6,00100000,00010010,88,186,79
7,00010000,00001010,48,218,15
8,00010000,00001000,56,208,50
9,00010000,00000110,72,190,13
10,00001000,00000101,240,21,3
11,00001000,00000101,44,217,25
12,00001000,00000000,54,202,101
13,00000100,00000010,15,243,12
14,00000100,00000000,30,226,22
15,00000100,00000011,170,89,16
16,00000010,00000001,62,195,104
17,00000010,00000001,142,115,147
18,00000010,00000000,52,204,9
19,00000001,00000000,99,157,73
20,00000001,00000000,28,228,104
21,00000001,00000000,4,252,13
